Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
40.7481,-73.7337,10383.33,64.94,141.33,0.0,35.65,11.46,19
40.6907,-73.9147,68111.11,240.64,2741.28,3.82,469.83,175.71,83
40.5681,-74.0901,156.5,104.41,378.15,16.55,2001.53,14.01,16
40.6035,-73.758,32395.52,254.65,1266.87,31.83,110.77,53.48,77
40.5672,-74.1109,13419.08,297.94,1623.38,12.73,5648.09,50.93,68
40.7642,-73.977,30645.16,240.64,3124.53,75.12,1515.16,280.11,99
40.7875,-73.8303,6833.9,180.8,1134.46,1.27,87.85,42.02,67
40.6791,-73.9232,61130.43,202.45,2368.23,1.27,401.07,199.9,89
40.6959,-73.8117,18923.81,301.76,2849.51,0.0,364.15,283.93,91
40.8347,-73.875,82746.67,155.34,1620.83,85.31,197.35,106.95,83
40.8416,-73.9212,86215.38,258.47,681.18,63.66,118.41,104.41,91
40.5231,-74.2347,601.07,275.02,653.17,31.83,5985.5,26.74,67
40.6551,-73.9253,38051.72,283.93,3083.79,5.09,119.68,188.44,88
40.8747,-73.8279,161666.67,150.24,873.44,59.84,62.39,50.93,78
40.533,-74.2359,601.07,206.26,374.33,31.83,4859.96,15.28,43
40.7457,-73.7757,11000.0,108.23,399.8,16.55,66.21,47.11,73
40.5665,-74.1269,8779.01,348.87,1320.35,6.37,795.77,30.56,73
40.6295,-74.041,14129.63,85.31,1059.34,10.19,94.22,49.66,28
40.6319,-74.1915,982.9,6.37,24.19,2.55,491.47,0.0,5
40.5884,-73.8151,20833.33,159.15,586.96,10.19,84.03,52.2,87
40.588,-74.1884,982.9,61.12,300.48,5.09,1543.17,6.37,53
40.539,-74.2018,10171.21,295.39,693.92,28.01,920.55,8.91,57
40.703,-73.9609,65435.9,234.28,2872.43,38.2,804.69,110.77,88
40.6489,-74.0006,34205.48,175.71,2237.08,20.37,989.31,122.23,85
40.5515,-74.1849,16367.23,220.27,620.07,0.0,496.56,1.27,49
40.5911,-73.8905,6.52,12.73,91.67,2.55,25.46,1.27,0
40.7163,-73.9787,79194.81,168.07,1962.06,110.77,646.81,80.21,94
40.6044,-73.753,29043.32,259.74,1625.93,30.56,99.31,64.94,90
40.6396,-73.9954,62794.12,225.36,2696.72,10.19,187.17,146.42,92
40.635,-73.9951,73666.67,225.36,2839.32,0.0,161.7,168.07,86
40.841,-73.7818,10321.26,12.73,49.66,0.0,72.57,26.74,58
40.5609,-74.1455,9434.85,225.36,875.99,5.09,937.1,11.46,35
40.5941,-74.0688,24105.26,208.81,700.28,22.92,1462.95,48.38,80
40.829,-73.8998,66839.51,215.18,772.86,54.75,204.99,129.87,88
40.5258,-74.2162,10697.78,170.61,561.5,19.1,1348.36,6.37,70
40.7262,-73.8556,100171.43,541.13,2891.53,6.37,709.19,171.89,91
40.781,-73.9088,51637.93,105.68,1361.09,36.92,345.05,43.29,80
40.5637,-74.199,27.39,16.55,150.24,0.0,541.13,16.55,26
40.8205,-73.8459,9073.23,127.32,789.41,56.02,50.93,31.83,71
40.9057,-73.8885,31.13,42.02,98.04,16.55,42.02,14.01,22
