Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
33.7922,-84.3825,3169.72,39.47,534.76,2.55,193.53,17.83,73
33.7396,-84.526,869.35,1.27,0.0,0.0,11.46,0.0,3
33.8498,-84.4162,3366.7,1.27,1.27,0.0,6.37,0.0,16
33.6809,-84.4965,3195.2,2.55,11.46,0.0,10.19,0.0,22
33.6828,-84.5404,1553.91,0.0,0.0,0.0,1.27,0.0,2
33.8225,-84.3605,7703.86,75.12,393.43,14.01,134.96,10.19,67
33.6906,-84.5284,1693.47,2.55,0.0,0.0,6.37,0.0,10
33.7024,-84.5316,1693.47,2.55,0.0,0.0,15.28,0.0,7
33.7969,-84.3299,4860.82,8.91,617.52,2.55,199.9,12.73,28
33.75,-84.3192,5370.3,22.92,80.21,5.09,40.74,0.0,78
33.8299,-84.4298,989.66,2.55,6.37,0.0,3.82,0.0,8
33.7702,-84.4216,2772.94,3.82,128.6,11.46,30.56,5.09,32
33.7062,-84.4564,2583.61,0.0,34.38,0.0,2.55,0.0,67
33.7004,-84.5191,1869.22,1.27,0.0,0.0,8.91,0.0,3
33.7498,-84.5308,869.35,1.27,0.0,0.0,7.64,0.0,3
33.7061,-84.4342,2583.61,6.37,98.04,0.0,22.92,5.09,14
33.7687,-84.4312,1682.47,2.55,70.03,10.19,17.83,5.09,24
33.7034,-84.5043,2181.92,2.55,0.0,0.0,6.37,0.0,6
33.7214,-84.5347,1693.47,0.0,0.0,0.0,2.55,0.0,3
33.8533,-84.4014,1643.86,6.37,3.82,0.0,2.55,0.0,1
33.8337,-84.3987,2150.09,0.0,0.0,0.0,10.19,0.0,4
33.7527,-84.4418,4438.91,1.27,164.25,28.01,16.55,3.82,41
33.7225,-84.5331,1869.22,0.0,0.0,0.0,3.82,0.0,1
33.7284,-84.445,2446.78,0.0,5.09,0.0,12.73,0.0,35
33.8308,-84.3596,8544.55,39.47,476.19,12.73,89.13,6.37,34
33.7555,-84.3741,8894.93,47.11,1068.25,28.01,328.5,20.37,95
33.8516,-84.4371,989.66,14.01,71.3,0.0,38.2,0.0,31
33.7454,-84.51,2605.77,1.27,1.27,0.0,7.64,0.0,21
33.8752,-84.3911,1643.86,1.27,8.91,0.0,3.82,0.0,34
33.8219,-84.3606,7703.86,73.85,401.07,14.01,137.51,16.55,67
33.7099,-84.4681,2396.62,1.27,2.55,0.0,5.09,0.0,18
33.7502,-84.4751,4173.21,6.37,59.84,1.27,34.38,6.37,41
33.6749,-84.4065,3388.64,8.91,35.65,2.55,34.38,0.0,43
33.6502,-84.3519,553.07,0.0,0.0,0.0,5.09,0.0,2
33.8677,-84.4363,1006.61,8.91,70.03,0.0,6.37,0.0,5
33.6864,-84.4139,2354.36,17.83,24.19,0.0,39.47,0.0,48
33.8778,-84.4237,1006.61,5.09,0.0,0.0,2.55,0.0,1
33.7729,-84.406,10860.5,24.19,1098.81,50.93,202.45,34.38,65
33.7509,-84.4179,4916.92,3.82,906.55,31.83,110.77,5.09,64
33.6681,-84.5164,3040.94,1.27,5.09,0.0,3.82,0.0,15
33.7007,-84.5096,2181.92,1.27,0.0,0.0,8.91,0.0,18
33.8206,-84.4522,7230.94,8.91,99.31,21.65,20.37,0.0,68
33.8162,-84.3948,7542.33,2.55,8.91,20.37,44.56,6.37,75
33.7592,-84.4098,9836.8,6.37,790.68,80.21,101.86,11.46,59
33.8536,-84.3744,4814.91,22.92,243.19,3.82,104.41,5.09,44
33.7408,-84.4653,1571.23,0.0,0.0,1.27,2.55,0.0,9
33.7569,-84.3344,6740.65,7.64,318.31,14.01,68.75,7.64,42
33.6718,-84.3737,1745.6,0.0,24.19,0.0,22.92,0.0,7
33.7889,-84.487,772.12,14.01,26.74,0.0,20.37,0.0,30
33.8395,-84.4068,1643.86,2.55,3.82,0.0,11.46,0.0,2
33.7469,-84.501,1429.67,10.19,0.0,0.0,7.64,0.0,3
33.8618,-84.3805,1643.86,3.82,12.73,1.27,30.56,0.0,72
33.8211,-84.3627,7703.86,82.76,351.41,14.01,136.24,20.37,78
33.6994,-84.4656,8466.82,1.27,40.74,0.0,10.19,0.0,20
33.7198,-84.3613,3225.97,2.55,197.35,7.64,36.92,14.01,5
33.7344,-84.3558,5752.0,20.37,462.19,8.91,56.02,7.64,47
33.8019,-84.4525,1141.57,0.0,26.74,2.55,6.37,0.0,2
33.698,-84.5333,1693.47,2.55,0.0,0.0,14.01,0.0,25
33.8062,-84.4685,2284.57,3.82,19.1,0.0,35.65,1.27,27
33.7716,-84.3525,11299.52,38.2,435.45,24.19,779.22,11.46,88
33.8171,-84.466,1773.01,1.27,10.19,5.09,11.46,0.0,30
33.6547,-84.3748,553.07,7.64,25.46,0.0,19.1,0.0,21
33.7023,-84.367,1807.46,0.0,12.73,0.0,6.37,0.0,4
33.7265,-84.4293,3531.11,0.0,36.92,15.28,21.65,0.0,35
33.712,-84.3743,1814.43,2.55,105.68,0.0,28.01,1.27,29
33.8188,-84.3828,7397.18,3.82,2.55,0.0,22.92,6.37,77
33.8251,-84.4244,989.66,3.82,56.02,1.27,1.27,0.0,8
33.761,-84.4993,3562.11,3.82,0.0,0.0,33.1,0.0,45
33.6945,-84.4822,3195.2,7.64,40.74,0.0,19.1,0.0,38
33.7132,-84.4668,2396.62,1.27,0.0,1.27,2.55,0.0,7
33.7545,-84.4981,6153.97,10.19,0.0,0.0,30.56,0.0,61
33.8467,-84.3668,2355.35,49.66,863.26,15.28,224.09,6.37,80
33.8601,-84.3537,3245.64,0.0,562.77,0.0,30.56,0.0,37
33.7207,-84.4482,2446.78,0.0,5.09,0.0,7.64,0.0,23
33.7652,-84.3334,6137.65,11.46,420.17,17.83,75.12,7.64,77
33.6511,-84.3837,553.07,3.82,17.83,0.0,7.64,0.0,18
33.7066,-84.4587,2396.62,0.0,21.65,0.0,2.55,0.0,66
33.7799,-84.4497,1682.47,1.27,28.01,1.27,35.65,0.0,39
33.8772,-84.3995,2278.57,1.27,7.64,0.0,7.64,0.0,31
33.7271,-84.3977,4448.28,5.09,89.13,1.27,82.76,0.0,41
33.7613,-84.3216,5886.64,3.82,115.86,7.64,12.73,3.82,61
33.8302,-84.4433,2941.03,3.82,0.0,0.0,2.55,0.0,10
33.6628,-84.5072,3040.94,1.27,5.09,0.0,70.03,0.0,47
33.7444,-84.4333,4438.91,7.64,89.13,34.38,42.02,0.0,66
33.7354,-84.4367,5667.77,2.55,57.3,12.73,38.2,0.0,68
33.6807,-84.3646,1745.6,1.27,7.64,1.27,1.27,0.0,6
33.6769,-84.3635,553.07,0.0,20.37,1.27,5.09,0.0,4
33.7875,-84.5137,861.17,3.82,12.73,0.0,5.09,0.0,0
33.834,-84.3539,5170.73,0.0,490.2,5.09,7.64,0.0,30
33.8118,-84.4077,3393.29,7.64,241.92,29.28,47.11,0.0,58
33.7038,-84.4002,1708.16,6.37,86.58,2.55,38.2,0.0,28
33.8058,-84.3537,4376.46,6.37,24.19,0.0,12.73,0.0,9
33.8635,-84.3614,1987.51,0.0,174.43,3.82,1.27,0.0,20
33.6843,-84.3514,2674.81,5.09,40.74,0.0,5.09,0.0,1
33.7735,-84.3697,6882.91,17.83,627.71,34.38,273.75,2.55,94
33.7558,-84.3674,8894.93,57.3,974.03,44.56,304.3,8.91,95
33.826,-84.4281,989.66,2.55,6.37,0.0,6.37,0.0,10
33.7387,-84.3032,3459.85,6.37,40.74,0.0,25.46,0.0,25
33.7067,-84.5171,2181.92,1.27,0.0,0.0,0.0,0.0,4
33.7347,-84.4008,11310.34,29.28,331.04,0.0,92.95,10.19,63
33.8019,-84.4585,2284.57,0.0,26.74,2.55,8.91,1.27,3
33.798,-84.3168,4397.48,10.19,676.09,22.92,193.53,24.19,20
33.8149,-84.3657,4543.71,47.11,108.23,5.09,72.57,6.37,73
33.8744,-84.4011,1643.86,2.55,6.37,0.0,10.19,0.0,31
33.8731,-84.3767,3584.71,17.83,44.56,2.55,58.57,0.0,69
33.7251,-84.4079,2571.13,10.19,118.41,10.19,72.57,0.0,59
33.6879,-84.3976,2096.96,2.55,52.2,0.0,16.55,0.0,2
33.8011,-84.46,2284.57,0.0,22.92,1.27,8.91,1.27,4
33.8405,-84.4281,3366.7,11.46,81.49,0.0,52.2,0.0,44
33.7545,-84.4495,2673.97,1.27,119.68,14.01,21.65,3.82,22
33.7995,-84.3409,5115.38,3.82,66.21,0.0,30.56,0.0,23
33.706,-84.5287,1869.22,0.0,0.0,0.0,5.09,0.0,8
33.6745,-84.4975,3195.2,1.27,11.46,0.0,10.19,0.0,12
33.8502,-84.4265,3366.7,16.55,127.32,0.0,56.02,0.0,56
33.785,-84.3877,43296.3,67.48,1205.76,31.83,345.05,35.65,91
33.8181,-84.4275,7802.82,1.27,0.0,0.0,14.01,1.27,36
33.7927,-84.346,5115.38,3.82,53.48,1.27,28.01,5.09,50
33.7594,-84.4704,1940.62,5.09,63.66,0.0,34.38,6.37,35
33.7431,-84.3375,3302.44,6.37,120.96,7.64,43.29,0.0,52
33.7768,-84.4199,4404.69,3.82,201.17,15.28,63.66,0.0,55
33.7644,-84.4467,3325.12,1.27,21.65,1.27,22.92,0.0,17
33.6923,-84.492,1418.5,7.64,40.74,0.0,8.91,0.0,55
33.7296,-84.3572,5752.0,24.19,343.77,11.46,50.93,31.83,42
33.7688,-84.3253,6137.65,10.19,231.73,2.55,57.3,0.0,37
33.8039,-84.391,4261.19,3.82,96.77,1.27,91.67,5.09,75
33.7863,-84.4027,14311.38,50.93,1535.53,10.19,234.28,16.55,82
33.8314,-84.4332,989.66,2.55,7.64,0.0,3.82,0.0,3
33.6902,-84.5231,1242.4,1.27,0.0,0.0,11.46,0.0,12
33.8587,-84.4306,1006.61,3.82,17.83,0.0,7.64,0.0,26
33.7483,-84.4203,4916.92,5.09,683.73,39.47,95.49,1.27,55
33.8649,-84.4381,1006.61,6.37,90.4,0.0,12.73,2.55,7
33.7514,-84.3487,5447.0,103.13,593.33,16.55,114.59,10.19,83
33.7025,-84.4721,8466.82,2.55,0.0,0.0,12.73,0.0,33
33.6888,-84.3932,2096.96,0.0,0.0,1.27,10.19,0.0,16
33.6692,-84.3625,553.07,0.0,0.0,0.0,2.55,0.0,6
33.727,-84.4991,1429.67,14.01,24.19,0.0,22.92,0.0,8
33.8468,-84.4152,3366.7,8.91,15.28,0.0,11.46,0.0,5
33.6827,-84.3965,2096.96,2.55,52.2,0.0,21.65,0.0,54
33.8539,-84.3665,15700.0,39.47,1069.52,2.55,168.07,5.09,72
33.7443,-84.3971,3929.35,50.93,1201.94,19.1,259.74,11.46,53
33.7269,-84.4766,1429.67,1.27,0.0,2.55,5.09,0.0,13
33.6959,-84.4806,3195.2,6.37,20.37,0.0,20.37,0.0,36
33.7988,-84.4404,1141.57,6.37,35.65,0.0,16.55,0.0,15
33.7958,-84.5057,772.12,2.55,19.1,1.27,10.19,0.0,17
33.7683,-84.3437,6941.18,26.74,584.42,28.01,138.78,16.55,59
33.8666,-84.404,1643.86,2.55,0.0,0.0,7.64,0.0,8
33.6819,-84.53,1242.4,0.0,0.0,0.0,1.27,0.0,6
33.7041,-84.5025,2181.92,2.55,0.0,0.0,6.37,0.0,5
33.725,-84.4079,2571.13,10.19,117.14,10.19,71.3,0.0,59
33.7015,-84.5112,2181.92,1.27,0.0,0.0,7.64,0.0,13
33.7986,-84.3146,4397.48,8.91,522.03,20.37,134.96,16.55,16
33.8568,-84.4437,989.66,3.82,39.47,0.0,11.46,1.27,11
33.6986,-84.5338,1693.47,2.55,0.0,0.0,14.01,0.0,23
33.8069,-84.4338,2628.4,5.09,16.55,1.27,21.65,1.27,49
33.7485,-84.467,1571.23,3.82,49.66,1.27,34.38,6.37,52
33.8507,-84.4401,989.66,6.37,38.2,0.0,8.91,0.0,3
33.7086,-84.524,1869.22,0.0,0.0,0.0,2.55,0.0,3
33.8748,-84.3664,3584.71,0.0,105.68,1.27,1.27,0.0,10
33.7708,-84.3814,16659.86,81.49,2119.94,22.92,534.76,28.01,91
33.6867,-84.5244,1242.4,0.0,0.0,0.0,6.37,0.0,2
33.7089,-84.5164,1869.22,1.27,0.0,0.0,1.27,0.0,5
33.8245,-84.4156,3393.29,5.09,66.21,42.02,11.46,0.0,9
33.8708,-84.421,1006.61,3.82,0.0,0.0,2.55,0.0,5
33.696,-84.5058,2181.92,3.82,0.0,0.0,22.92,0.0,28
33.8297,-84.4412,989.66,2.55,0.0,0.0,5.09,0.0,5
33.7874,-84.48,772.12,1.27,16.55,0.0,16.55,0.0,22
33.8417,-84.3866,5857.63,16.55,52.2,8.91,112.05,0.0,54
33.7221,-84.4851,1429.67,1.27,0.0,0.0,10.19,0.0,8
33.7725,-84.5049,861.17,6.37,0.0,0.0,16.55,0.0,12
33.8299,-84.4516,989.66,3.82,0.0,5.09,2.55,0.0,5
33.7129,-84.3967,9473.84,0.0,85.31,1.27,38.2,0.0,26
33.6999,-84.368,1807.46,0.0,10.19,0.0,5.09,0.0,3
33.8105,-84.3568,4376.46,6.37,45.84,0.0,58.57,3.82,56
33.7088,-84.4927,1418.5,0.0,0.0,0.0,1.27,0.0,4
33.8284,-84.3989,2150.09,3.82,8.91,21.65,7.64,0.0,15
33.8235,-84.4142,3393.29,5.09,66.21,42.02,11.46,0.0,1
33.6849,-84.5161,1242.4,3.82,0.0,0.0,15.28,0.0,12
33.8595,-84.3948,1643.86,5.09,0.0,1.27,0.0,0.0,16
33.8094,-84.4713,1141.57,3.82,14.01,0.0,39.47,1.27,50
33.7525,-84.3668,8761.1,54.75,1280.88,33.1,342.5,8.91,91
33.7408,-84.3432,3302.44,12.73,401.07,10.19,118.41,0.0,83
33.7903,-84.3181,4860.82,11.46,642.99,34.38,203.72,21.65,65
33.7156,-84.4615,2446.78,5.09,5.09,1.27,7.64,0.0,42
33.7427,-84.4291,3993.84,22.92,103.13,29.28,44.56,0.0,67
33.6484,-84.3859,553.07,11.46,24.19,0.0,15.28,0.0,6
